sysTime name age sex trialN audioCnd gbrDir gbrPresTime gbrRT gbrACC 
246428240 E124 21 1 63 0 left 48 -1 -1 
246429252 E124 21 1 63 0 left 48 -1 -1 
246430559 E124 21 1 63 0 left 48 1239 1 
246434306 E124 21 1 63 0 left 48 1239 1 
246437306 E124 21 1 63 0 left 48 1239 1 
246451142 E124 21 1 64 0 right 48 -1 -1 
246452152 E124 21 1 64 0 right 48 -1 -1 
246452927 E124 21 1 64 0 right 48 707 1 
246456656 E124 21 1 64 0 right 48 707 1 
246459656 E124 21 1 64 0 right 48 707 1 
246459663 E124 21 1 65 0 left 32 -1 -1 
246460675 E124 21 1 65 0 left 32 -1 -1 
246461718 E124 21 1 65 0 left 32 991 1 
246466614 E124 21 1 65 0 left 32 991 1 
246469614 E124 21 1 65 0 left 32 991 1 
246469621 E124 21 1 66 0 left 48 -1 -1 
246470632 E124 21 1 66 0 left 48 -1 -1 
246471469 E124 21 1 66 0 left 48 768 1 
246477105 E124 21 1 66 0 left 48 768 1 
246480105 E124 21 1 66 0 left 48 768 1 
246480111 E124 21 1 67 0 left 48 -1 -1 
246481123 E124 21 1 67 0 left 48 -1 -1 
246481885 E124 21 1 67 0 left 48 693 1 
246485795 E124 21 1 67 0 left 48 693 1 
246488795 E124 21 1 67 0 left 48 693 1 
246488802 E124 21 1 68 0 right 64 -1 -1 
246489813 E124 21 1 68 0 right 64 -1 -1 
246490517 E124 21 1 68 0 right 64 619 1 
246494718 E124 21 1 68 0 right 64 619 1 
246497718 E124 21 1 68 0 right 64 619 1 
246497725 E124 21 1 69 0 right 64 -1 -1 
246498736 E124 21 1 69 0 right 64 -1 -1 
246499237 E124 21 1 69 0 right 64 415 1 
246503257 E124 21 1 69 0 right 64 415 1 
246506257 E124 21 1 69 0 right 64 415 1 
246506264 E124 21 1 70 0 left 64 -1 -1 
246507276 E124 21 1 70 0 left 64 -1 -1 
246508126 E124 21 1 70 0 left 64 765 1 
246513232 E124 21 1 70 0 left 64 765 1 
246516232 E124 21 1 70 0 left 64 765 1 
246516239 E124 21 1 71 0 right 16 -1 -1 
246517250 E124 21 1 71 0 right 16 -1 -1 
246517949 E124 21 1 71 0 right 16 664 0 
246521721 E124 21 1 71 0 right 16 664 0 
246524721 E124 21 1 71 0 right 16 664 0 
246524728 E124 21 1 72 0 left 16 -1 -1 
246525740 E124 21 1 72 0 left 16 -1 -1 
246526541 E124 21 1 72 0 left 16 749 1 
246530328 E124 21 1 72 0 left 16 749 1 
246533328 E124 21 1 72 0 left 16 749 1 
246533335 E124 21 1 73 0 left 64 -1 -1 
246534346 E124 21 1 73 0 left 64 -1 -1 
246535020 E124 21 1 73 0 left 64 589 1 
246539017 E124 21 1 73 0 left 64 589 1 
246542017 E124 21 1 73 0 left 64 589 1 
246542024 E124 21 1 74 0 left 16 -1 -1 
246543036 E124 21 1 74 0 left 16 -1 -1 
246543837 E124 21 1 74 0 left 16 766 1 
246547924 E124 21 1 74 0 left 16 766 1 
246550924 E124 21 1 74 0 left 16 766 1 
246550931 E124 21 1 75 0 left 16 -1 -1 
246551943 E124 21 1 75 0 left 16 -1 -1 
246552612 E124 21 1 75 0 left 16 634 1 
246556480 E124 21 1 75 0 left 16 634 1 
246559480 E124 21 1 75 0 left 16 634 1 
246559487 E124 21 1 76 0 right 48 -1 -1 
246560499 E124 21 1 76 0 right 48 -1 -1 
246561220 E124 21 1 76 0 right 48 653 1 
246565070 E124 21 1 76 0 right 48 653 1 
246568070 E124 21 1 76 0 right 48 653 1 
246568077 E124 21 1 77 0 left 64 -1 -1 
246569089 E124 21 1 77 0 left 64 -1 -1 
